"catid","name","image","description"
"1","Objetos - Generales","blank.gif",
"2","Objetos - Armas Blancas","blank.gif",
"3","Objetos - Criaturas","blank.gif",
"4","Objetos - Estudiantes","blank.gif",
"5","Objetos - EXTASIS","blank.gif",
"6","Objetos - Hogwarts","blank.gif",
"7","Objetos - Ministerio","blank.gif",
"8","Objetos - Mortífagos","blank.gif",
"9","Objetos - Pociones","blank.gif",
"10","Objetos - Propiedades","blank.gif",
"11","Objetos - Quidditch","blank.gif",
"12","Objetos - Transporte Mágico","blank.gif",
"13","Objetos - San Mungo","blank.gif",
"14","Objetos - Autorizaciones","blank.gif",
"15","Objetos - Premios Misiones","blank.gif",
"16","Objetos - Premios Expediciones","blank.gif",
"17","Objetos - Premios Nimbus","blank.gif",
"18","Objetos - Premios Situaciones","blank.gif",
"19","Objetos - Minitramas","blank.gif",
"20","Objetos - San Duende","blank.gif",
"21","Objetos - Items Únicos","blank.gif",
"22","Objetos - Eventos","blank.gif",
"23","Hechizos - Hechizos Básicos","blank.gif",
"24","Hechizos - Hechizos de Sanación","blank.gif",
"25","Hechizos - Hechizos de Ataque","blank.gif",
"26","Hechizos - Hechizos de Defensa","blank.gif",
"27","Hechizos - Hechizos de Ataque y Defensa","blank.gif",
"28","Hechizos - Hechizos Aurores","blank.gif",
"29","Hechizos - Hechizos Mortífagos","blank.gif",
"30","Hechizos - Maleficios","blank.gif",
"31","Razas - Razas","blank.gif",
"32","Habilidades - Habilidades Innatas","blank.gif",
"33","Habilidades - Habilidades Adquiribles","blank.gif",
"34","Habilidades - Habilidades de Licántropos","blank.gif",
"35","Habilidades - Habilidades de Semigigantes","blank.gif",
"36","Habilidades - Habilidades Sirenas","blank.gif",
"37","Habilidades - Habilidades de Vampiros","blank.gif",
"38","Habilidades - Habilidades de Veela","blank.gif",
"39","Habilidades - Habilidades de Híbridos Innatas","blank.gif",
"40","Habilidades - Habilidades de Humanos","blank.gif",
"41","Costello - Arcana High Bar","blank.gif",
"42","Costello - Borgin & Burkes","blank.gif",
"43","Costello - El Nox","blank.gif",
"44","Costello - Mortem Gemma","blank.gif",
"45","Costello - Portafolio","blank.gif",
"46","Negocios - Aquí te tengo tu cariñito","blank.gif",
"47","Negocios - Báthory Square Garden","blank.gif",
"48","Negocios - Botica Slug & Jiggers","blank.gif",
"49","Negocios - Chez Winnie","blank.gif",
"50","Negocios - Leprechaun's Pinch","blank.gif",
"51","Negocios - Cupid's Paradise","blank.gif",
"52","Negocios - Danceteria Rolling Hall","blank.gif",
"53","Negocios - El Lux","blank.gif",
"54","Negocios - FLEUR","blank.gif",
"55","Negocios - Flourish & Blotts","blank.gif",
"56","Negocios - Luxxuria","blank.gif",
"57","Negocios - Moonlight Shadow Planetary","blank.gif",
"58","Negocios - Mystic Momentum","blank.gif",
"59","Negocios - Nym's Treasure","blank.gif",
"60","Negocios - Peonie's Ribbon","blank.gif",
"61","Negocios - Plants & Seeds","blank.gif",
"62","Negocios - Ragnarok","blank.gif",
"63","Negocios - Rose","blank.gif",
"64","Negocios - Royal Vauxhall Tavern","blank.gif",
"65","Negocios - Sacred Lotus","blank.gif",
"66","Negocios - Saint Ellis Hospital","blank.gif",
"67","Negocios - Sortilegios Weasley","blank.gif",
"68","Negocios - Tierra y Cristal","blank.gif",
"69","Negocios - Vinos Zabini","blank.gif",
"70","Negocios - Wizarding World Curse","blank.gif",
"71","Logros - Premios","blank.gif",
"72","Logros - Logros de Duelos","blank.gif",
"73","Logros - Logros de Misiones","blank.gif",
"74","Logros - Logros de Misiones","blank.gif",
"75","Logros - Logros de Expediciones","blank.gif",
"76","Logros - Logros de Pociones","blank.gif",
"77","Logros - Logros de Nimbus","blank.gif",
"78","Logros - Logros de Situaciones","blank.gif",
"79","Logros - Logros de Cámara de Creación Mágica","blank.gif",
"80","Logros - Logros de Rituales","blank.gif",
"81","Logros - Logros de San Mungo","blank.gif",
"82","Logros - Logros de Costello","blank.gif",
"83","Logros - Logros de Colección de Cromos","blank.gif",
"84","Logros - Logros de Top Posteadores","blank.gif",
"85","Logros - Logros de Empleo","blank.gif",
"86","Logros - Logros de Torneo de Duelos","blank.gif",
"87","Logros - Logros de Torneo de Pociones","blank.gif",
"88","Logros - Logros de Torneo de Quidditch Libre","blank.gif",
"89","Logros - Logros de Torneo de Quidditch","blank.gif",
"90","Logros - Logros de Desafío Hogwarts","blank.gif",
"91","Logros - Logros de Torneo de Campeones","blank.gif",
"92","Logros - Logros de Mortífagos","blank.gif",
"93","Logros - Logros de Aurores","blank.gif",
"94","Rituales - Ingredientes de Rituales","blank.gif",
"95","Rituales - Rituales","blank.gif",
"96","SIN CATEGORIA - SIN CATEGORIA","blank.gif",
